ID,名前,種別,初期レベル,レベル限界,初期HP,HP100,初期L ATK,初期L MAT,初期L DEF,初期L MDE,初期G ATK,初期G MAT,初期G DEF,初期G MDE,L ATK100,L MAT100,L DEF100,L MDE100,G ATK100,G MAT100,G DEF100,G MDE100,初期指揮,初期機動,指揮100,機動100,初期回復力,回復100,兵士数,死亡可,捕獲可,解雇可,好感度,ス L ATK,ス L DEF,ス G ATK,サイズ　部下,装備,AI番号,立ち絵画像名,顔アイコン画像名,戦闘リーダープレハブ,戦闘兵士プレハブ,キャラ説明,死亡時セリフ,捕獲時セリフ,逃走時セリフ
67,イヌイ,2,23,79,2,137,11,0,9,10,10,0,10,2,558,0,553,408,477,0,522,485,0,9,45,22,21,1079,1400,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
68,アイヌ,2,23,51,2,144,10,0,9,9,9,0,9,2,561,0,544,469,524,0,509,426,0,9,50,20,18,1008,1500,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
69,シャクシャン,2,23,67,2,149,9,0,9,11,11,0,11,2,553,0,539,474,552,0,535,406,0,11,54,19,18,1079,1400,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
70,ダイヤー,3,20,40,2,139,10,0,10,10,11,0,10,2,467,0,542,441,286,0,554,599,0,18,48,19,20,1021,1300,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
71,ポール,2,25,48,2,126,10,0,10,9,11,0,11,2,472,0,502,424,537,0,494,438,0,11,52,19,21,977,1400,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
72,ジョン,2,25,64,2,136,9,0,11,11,11,0,11,2,496,0,514,415,525,0,547,432,0,10,51,22,20,915,1600,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
73,リンゴォ,2,25,75,2,133,10,0,11,11,11,0,11,2,546,0,473,406,533,0,484,440,0,11,46,18,22,974,1500,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
74,ジョージ,2,25,59,2,143,11,0,11,10,10,0,9,2,480,0,508,442,539,0,524,455,0,11,54,19,18,965,1500,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
75,ミッチェル,0,23,69,2,105,0,10,10,11,0,10,2,9,0,502,452,550,0,476,494,524,0,11,46,22,19,1095,1000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
76,ゆきおんな,0,23,55,2,114,0,9,10,9,0,9,2,9,0,546,413,510,0,537,406,539,0,11,47,18,19,916,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
77,どろどろ,0,20,51,2,102,0,9,9,9,0,10,2,9,0,522,433,557,0,557,486,528,0,11,51,22,22,1081,800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
78,かまいたち,0,20,46,2,115,0,11,11,10,0,11,2,9,0,475,482,481,0,550,411,546,0,10,50,21,18,1090,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
79,シベリア,0,20,48,2,117,0,10,10,10,0,11,2,10,0,493,434,500,0,513,445,522,0,9,51,21,22,954,700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
80,サムイ,0,20,70,2,99,0,9,9,9,0,11,2,10,0,484,468,474,0,534,480,500,0,10,49,20,21,910,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
81,コゴエル,0,20,70,2,104,0,9,11,11,0,10,2,9,0,488,440,534,0,542,448,460,0,11,51,19,19,1053,800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
82,シバレル,1,20,40,2,116,0,10,11,10,0,11,2,10,0,546,488,465,0,520,475,510,0,10,49,22,20,1048,900,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
83,ヒャッコイ,1,20,69,2,118,0,10,11,9,0,10,2,10,0,469,476,553,0,488,446,528,0,10,51,20,20,1008,800,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
,オリヴィア領モブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ぼたん,2,25,69,2,152,10,0,11,11,11,0,11,2,474,0,555,422,486,0,530,488,0,9,50,19,22,1025,1500,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
85,チェリーボイ,2,25,78,2,147,9,0,10,9,9,0,10,2,560,0,496,479,509,0,533,485,0,9,52,18,18,961,1500,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
86,ココローズ,2,25,52,2,146,9,0,10,11,11,0,10,2,511,0,547,437,521,0,537,476,0,11,51,20,20,1042,1400,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
87,ワラビー,3,25,50,2,147,9,0,11,11,10,0,10,2,483,0,472,429,336,0,637,676,0,18,52,19,20,1061,1400,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
88,ゼンマイ,3,25,43,2,145,11,0,10,11,11,0,9,2,464,0,480,452,337,0,590,685,0,18,55,21,19,1034,1500,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
89,パンジャ,2,16,62,2,128,11,0,10,10,9,0,9,2,525,0,532,483,528,0,542,429,0,10,49,19,20,1042,900,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
90,すずらん,2,18,71,2,144,9,0,11,10,9,0,10,2,547,0,477,493,546,0,503,431,0,9,49,20,21,1021,1100,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
91,ミル,0,16,64,2,118,0,10,11,9,0,11,2,10,0,560,449,467,0,485,416,484,0,10,51,21,18,986,600,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
92,ミリ,0,18,72,2,99,0,10,11,11,0,9,2,9,0,519,479,560,0,542,449,483,0,11,48,21,22,942,700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
93,ミラ,0,18,77,2,114,0,9,11,9,0,11,2,11,0,480,443,546,0,542,464,559,0,9,53,20,20,1072,800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
94,ミミ,1,18,64,2,118,0,9,10,9,0,11,2,9,0,545,492,536,0,488,449,486,0,11,54,21,21,933,800,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
95,コスモス,0,25,41,2,120,0,11,11,9,0,10,2,10,0,474,408,479,0,524,473,466,0,10,53,21,21,1092,1000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
96,ジミー,0,25,75,2,107,0,11,11,9,0,10,2,11,0,559,406,484,0,530,438,484,0,10,49,20,22,967,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
97,ツェップ,0,20,71,2,121,0,9,9,9,0,10,2,9,0,495,453,479,0,520,469,528,0,9,54,18,21,935,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
98,トマト,0,20,41,2,101,0,9,9,11,0,11,2,11,0,513,481,536,0,540,432,484,0,9,48,18,21,955,800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
99,ポポ,0,20,67,2,102,0,11,10,10,0,11,2,11,0,524,414,477,0,462,454,502,0,9,46,20,21,1079,700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
100,ダンデ,1,20,48,2,115,0,9,11,9,0,11,2,10,0,465,469,539,0,520,471,476,0,9,55,21,21,979,700,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
101,ききょう,1,20,46,2,115,0,10,9,10,0,10,2,9,0,554,465,547,0,559,467,489,0,11,55,20,18,1070,700,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
,ベガ領モブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,キキ,4,25,-1,4,100,5,5,8,8,8,8,8,8,255,242,333,341,401,436,379,333,0,8,49,15,18,966,800,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
103,ピピ,4,25,-1,4,109,5,5,8,8,8,8,8,8,263,280,318,336,376,373,366,336,0,8,51,15,22,1085,700,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
104,ボボ,4,25,-1,4,98,5,5,8,8,8,8,8,8,274,252,318,327,427,372,379,337,0,8,51,14,19,998,800,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
105,ダダ,4,25,-1,4,97,5,5,8,8,8,8,8,8,250,247,381,334,364,386,357,330,0,8,55,15,20,1046,800,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
106,ジジ,4,25,-1,4,95,5,5,8,8,8,8,8,8,236,240,369,351,421,361,325,338,0,8,46,14,22,1044,800,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
107,ギギ,4,25,-1,4,94,5,5,8,8,8,8,8,8,237,259,347,316,406,381,336,349,0,8,50,14,19,932,700,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
108,ガガ,4,25,-1,4,98,5,5,8,8,8,8,8,8,259,276,358,375,377,368,327,351,0,8,51,16,22,909,700,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
109,ディディ,4,25,-1,4,92,5,5,8,8,8,8,8,8,273,243,341,322,410,404,318,335,0,8,52,16,22,1047,700,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
110,ビビ,4,28,-1,4,97,5,5,8,8,8,8,8,8,269,270,358,375,435,386,333,370,0,8,53,15,18,1075,800,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
111,ズズ,4,28,-1,4,97,5,5,8,8,8,8,8,8,271,246,315,354,399,428,347,366,0,8,55,15,18,937,800,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
112,ベベ,4,28,-1,4,110,5,5,8,8,8,8,8,8,250,269,326,342,422,415,331,316,0,8,50,14,22,904,900,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
113,トト,4,28,-1,4,109,5,5,8,8,8,8,8,8,258,278,368,336,406,392,357,370,0,8,49,14,20,988,900,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
114,ココ,4,28,-1,4,108,5,5,8,8,8,8,8,8,256,234,338,340,428,399,348,379,0,8,47,15,20,981,900,1,1,1,0,58,131,122,2,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_dragon,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
115,アルバトロス,4,23,-1,4,99,5,5,8,8,8,8,8,8,266,232,344,366,254,231,335,356,0,8,48,14,20,978,1200,1,1,1,0,58,131,123,1,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_pterosaur,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
116,ツェッペリン,4,23,-1,4,97,5,5,8,8,8,8,8,8,243,268,328,343,263,238,323,320,0,8,48,14,22,915,1200,1,1,1,0,58,131,123,1,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_pterosaur,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
117,ゼロ,4,23,-1,4,92,5,5,8,8,8,8,8,8,263,277,345,320,270,257,367,384,0,8,55,14,21,995,1200,1,1,1,0,58,131,123,1,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_pterosaur,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
118,ヘルキャット,4,23,-1,4,95,5,5,8,8,8,8,8,8,274,239,347,369,237,257,346,385,0,8,45,14,22,913,1000,1,1,1,0,58,131,123,1,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_pterosaur,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
119,コメート,4,23,-1,4,104,5,5,8,8,8,8,8,8,234,269,344,329,274,255,316,385,0,8,45,14,20,947,1100,1,1,1,0,58,131,123,1,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_pterosaur,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
120,シュースイ,4,23,-1,4,96,5,5,8,8,8,8,8,8,272,234,315,328,227,256,346,328,0,8,55,14,19,1058,1000,1,1,1,0,58,131,123,1,-1,4,,635_fv_dragonleaderA,bv_dragonleader,bv_pterosaur,知らん、次,ギャオオオオオォォォ！！！,ギャオオオ……！,ギャオオオオン！！
,シャルロッテ領モブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,トパーズ,2,25,69,2,142,9,0,9,10,9,0,10,2,529,0,530,409,494,0,500,417,0,10,52,21,19,1004,1600,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
122,オパール,2,25,55,2,129,11,0,10,11,9,0,10,2,468,0,531,472,460,0,504,486,0,10,48,21,21,1095,1500,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
123,ルビィ,3,25,68,2,135,9,0,9,11,10,0,10,2,508,0,487,442,315,0,555,712,0,18,47,21,22,922,1600,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
124,ターコイズ,2,23,63,2,138,9,0,9,11,11,0,9,2,480,0,513,447,480,0,510,429,0,11,54,21,18,924,1400,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
125,アメジスト,2,23,40,2,132,10,0,10,9,9,0,9,2,559,0,497,470,461,0,468,405,0,10,55,22,18,902,1300,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
126,パール,2,23,41,2,144,11,0,9,10,10,0,11,2,497,0,484,452,464,0,533,428,0,10,49,19,21,1045,1300,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
127,エメラルド,2,23,71,2,148,9,0,11,10,11,0,11,2,459,0,485,406,555,0,494,438,0,11,53,22,19,901,1500,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
128,サファイヤ,3,23,64,2,132,9,0,11,10,11,0,11,2,477,0,531,408,332,0,625,651,0,18,55,22,21,962,1400,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
129,ジャンヌ4世,0,25,68,2,102,0,9,11,10,0,11,2,11,0,527,485,540,0,469,489,561,0,10,51,20,20,1032,1000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
130,エルヴィラ,0,25,59,2,114,0,9,10,11,0,11,2,9,0,488,417,489,0,490,470,520,0,10,49,22,18,913,1000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
131,マリー2世,0,25,66,2,107,0,9,11,9,0,9,2,9,0,548,481,543,0,544,465,489,0,10,51,18,20,1048,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
132,ワルプルガ,0,25,51,2,120,0,10,10,10,0,10,2,10,0,476,410,465,0,485,439,476,0,9,47,21,19,999,1100,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
133,ヒミコ13世,1,25,61,2,114,0,11,10,11,0,10,2,9,0,484,414,487,0,487,433,476,0,9,50,19,22,901,900,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
134,パトラ,1,25,40,2,112,0,11,10,10,0,10,2,9,0,480,462,495,0,534,466,525,0,9,50,18,22,1046,1100,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
135,メディチ3世,1,25,66,2,121,0,11,11,11,0,10,2,10,0,489,410,535,0,486,492,499,0,9,51,19,22,1053,900,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
136,コモドーラ,0,23,75,2,100,0,9,9,9,0,11,2,9,0,526,408,545,0,475,479,506,0,9,55,20,22,900,1000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
137,コモドーレ,0,23,53,2,116,0,10,11,10,0,10,2,9,0,477,425,519,0,546,417,546,0,9,48,21,19,1094,800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
138,コモドーロ,0,23,75,2,119,0,10,9,9,0,10,2,11,0,539,441,515,0,477,442,503,0,9,50,22,18,925,900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
139,コモドール,1,23,76,2,110,0,10,10,9,0,11,2,9,0,561,486,532,0,505,454,482,0,10,55,20,21,925,1000,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
,リリィ領モブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,アスモダーイ,5,28,-1,4,220,11,0,5,2,9,0,5,10,641,0,277,180,657,0,235,250,0,6,0,16,19,1015,2000,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
141,ニコルソン,5,28,-1,4,216,9,0,5,2,10,0,5,10,607,0,283,219,654,0,262,250,0,6,0,16,22,981,2000,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
142,サターン,5,28,-1,4,190,10,0,5,2,10,0,5,10,614,0,237,209,566,0,241,250,0,6,0,17,19,1068,1800,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
143,ベリアル,5,28,-1,4,187,11,0,5,2,10,0,5,10,605,0,280,213,548,0,268,250,0,6,0,17,20,973,2100,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
144,ベルヘゴー,5,28,-1,4,208,11,0,5,2,10,0,5,10,563,0,238,200,551,0,246,250,0,6,0,16,22,1012,1800,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
145,マモン,5,28,-1,4,185,10,0,5,2,9,0,5,10,648,0,267,180,635,0,242,250,0,6,0,18,19,955,1800,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
146,グリゴリー,5,28,-1,4,218,9,0,5,2,9,0,5,10,621,0,263,209,611,0,260,250,0,6,0,16,21,952,1800,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
147,ベヒーモス,5,33,-1,4,220,9,0,5,2,9,0,5,10,576,0,284,209,648,0,267,250,0,6,0,16,22,992,2200,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
148,レヴァイアタン,5,33,-1,4,201,9,0,5,2,10,0,5,10,631,0,266,185,646,0,263,250,0,6,0,17,19,982,2400,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
149,ティアマット,5,33,-1,4,198,11,0,5,2,9,0,5,10,595,0,261,208,654,0,285,250,0,6,0,18,19,1076,2200,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
150,クンナ,5,33,-1,4,194,9,0,5,2,11,0,5,10,591,0,247,192,595,0,257,250,0,6,0,18,22,997,2300,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
151,オーガー,5,33,-1,4,182,10,0,5,2,9,0,5,10,541,0,246,189,601,0,284,250,0,6,0,17,18,1013,2300,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
152,エキドナ,5,33,-1,4,181,9,0,5,2,10,0,5,10,562,0,257,182,601,0,268,250,0,6,0,16,20,991,2500,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
153,ティポーン,5,33,-1,4,189,10,0,5,2,10,0,5,10,637,0,261,202,553,0,261,250,0,6,0,18,22,947,2300,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
154,フンバーバ,5,33,-1,4,186,10,0,5,2,11,0,5,10,616,0,241,198,556,0,278,250,0,6,0,16,21,984,2400,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
155,パズズ,5,33,-1,4,215,11,0,5,2,9,0,5,10,569,0,259,212,614,0,270,250,0,6,0,16,20,928,2200,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
156,ガーゴイル,5,33,-1,4,186,9,0,5,2,11,0,5,10,652,0,275,199,598,0,255,250,0,6,0,16,20,943,2300,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
